SUMMARY,CALENDAR,TASK,TASK_EN
p1 progmod,Exames,Fazer a prova 1 de Programação Modular,Take Modular Programming exam 1
entrega trabalho inf1018,Exames,Entregar trabalho de inf1018,Submit inf1018 assignment
t3 algebra,Exames,Fazer o teste 3 de álgebra,Take Algebra test 3
t4 algebra,Exames,Fazer o teste 4 de álgebra,Take Algebra test 4
p2 inf1018,Exames,Fazer a prova 2 de inf1018,Take inf1018 exam 2
p2 algebra,Exames,Fazer a prova 2 de Álgebra,Take Algebra exam 2
trab inf1018,Exames,Fazer o trabalho de INF1018,Do the INF1018 assignment
p3 algebra,Exames,Fazer a prova 3 de álgebra,Take Algebra exam 3
p2 progmod,Exames,Fazer a prova 2 de Programação Modular,Take Modular Programming exam 2
avaliacao 1 algebra,Exames,Fazer a avaliação 1 de álgebra,Take Algebra exam 1
p1 calculo,Exames,Fazer a prova 1 de Cálculo,Take Calculus exam 1
t1 maple algebra,Exames,Fazer o teste 1 de álgebra com Maple,Take Algebra Test 1 with Maple
avaliacao 2 algebra,Exames,Fazer a avaliação 2 de álgebra,Take Algebra assessment 2
p1 algebra,Exames,Fazer a prova 1 de Álgebra,Take Algebra exam 1
teste 1 probcomp,Exames,Fazer teste 1 probabilidade computacional,Take computational probability test 1
av. lab1 calculo,Exames,Fazer a avaliação do laboratório 1 de Cálculo,Take the Calculus Lab 1 evaluation
trabalho 2 iac,Exames,Fazer o trabalho 2 de introdução a arquitetura de computadores,Do assignment 2 for Introduction to Computer Architecture
trabalho 3 iac,Exames,Fazer o trabalho 3 de introdução a arquitetura de computadores,Do assignment 3 for Introduction to Computer Architecture
trab g1 probcomp,Exames,Fazer o trabalho G1 de ProbComp,Do the ProbComp G1 assignment
teste 2 probcomp,Exames,Fazer o teste 2 de probabilidade computacional,Take Test 2 of Computational Probability
avaliacao 3 algebra,Exames,Fazer avaliação 3 de álgebra,Take Algebra assessment 3
p1 iac,Exames,Fazer a prova 1 de introdução a arquitetura de computadores,Take Introduction to Computer Architecture exam 1
avaliacao 4 algebra,Exames,Fazer a avaliação 4 de álgebra,Take Algebra assessment 4
tete 2 maple algebra,Exames,Fazer o teste 2 de Algebra com Maple,Take Algebra Test 2 with Maple
semana 6,Exames,Fazer a atividade da semana 6,Complete the week 6 activity
semana 7,Exames,Fazer a atividade da semana 7,Do the Week 7 activity
semana 8,Exames,Fazer a atividade da semana 8,Do week 8 activity
atividade 2 calculo,Exames,Fazer a atividade 2 de cálculo,Do Calculus activity 2
semana 10,Exames,Fazer a atividade da semana 10,Do the week 10 activity
semana 9,Exames,Fazer a atividade da semana 9,Do the week 9 activity
semana 11,Exames,Fazer a atividade da semana 11,Do week 11 activity
p2 calculo,Exames,Fazer a prova 2 de cálculo,Take Calculus 2 exam
av. lab2 calculo,Exames,Fazer a avaliação do laboratório 2 de cálculo,Take the Calculus Lab 2 assessment
av extra algebra,Exames,Fazer a avaliação extra de álgebra,Take the extra Algebra assessment
av extra c algebra,Exames,Fazer a avaliação extra de álgebra,Take the extra algebra assessment
av extra d algebra,Exames,Fazer a avaliação extra de álgebra,Take the extra algebra assessment
avaliacao 5 algebra,Exames,Fazer a avaliação de álgebra 5,Take Algebra assessment 5
trabalho 4 iac,Exames,Fazer o trabalho 4 de introdução a arquitetura de computadores,Do Introduction to Computer Architecture assignment 4
av 6 algebra,Exames,Fazer a avaliação 6 de álgebra,Take Algebra assessment 6
p2 iac,Exames,Fazer a prova 2 de introdução a arquitetura de computadores,Take Introduction to Computer Architecture Exam 2
teste e medicao: atividade 1,Exames,Realizar atividade 1 de teste e medição de software,Perform software testing and measurement activity 1
so: lab 2,Exames,Fazer o laboratório 2 de Sistemas Operacionais,Do Operating Systems Lab 2
atividade teste,Exames,Fazer uma atividade teste,Do a test activity
poo: p1,Exames,Fazer a prova 1 de Programação Orientada a Objetos,Take Object-Oriented Programming exam 1
teste e medcao: p1,Exames,Fazer a prova 1 de teste e medição de software,Take Software Testing and Measurement Exam 1
poo: trab i,Exames,Fazer o trabalho 1 de Programação Orientada a Objetos,Do Object-Oriented Programming assignment 1
bd: t2,Exames,Fazer o teste 2 de banco de dados,Take database test 2
so: p1,Exames,Fazer a prova 1 de Sistemas Operacionais,Take Operating Systems exam 1
bd: trab 1,Exames,Fazer trabalho 1 de banco de dados,Do database assignment 1
poo: trab ii,Exames,Fazer o trabalho 2 de Programação Orientada a Objetos,Do Object-Oriented Programming assignment 2
so: trab 1,Exames,Fazer o trabalho 1 de Sistemas Operacionais,Do Operating Systems assignment 1
bd: t3,Exames,Fazer o teste 3 de banco de dados,Take database test 3
so: lab 5,Exames,Fazer o laboratório 5 de Sistemas Operacionais,Do Operating Systems lab 5
poo: trab iii,Exames,Fazer o trabalho 3 de Programação Orientada a Objetos,Do Object-Oriented Programming assignment 3
bd: t1 g2,Exames,Fazer o teste 1 de banco de dados,Take database test 1
poo: trab iv,Exames,Fazer o trabalho 4 de Programação Orientada a Objetos,Do Object-Oriented Programming assignment 4
tms: atividade 3,Exames,Fazer a atividade 3 de teste e medição de software,Do Activity 3 for Software Testing and Measurement
so: lab 6,Exames,Fazer o laboratório 6 de Sistemas Operacionais,Do Operating Systems lab 6
tms: p2,Exames,Fazer a prova 2 de teste e medição de software,Take Software Testing and Measurement Exam 2
bd: trab 2,Exames,Fazer o trabalho 2 de banco de dados,Do database assignment 2
poo: apresentacao,Exames,Apresentar trabalho de Programação Orientada a Objetos,Present Object-Oriented Programming project
bd: t2 g2,Exames,Fazer o teste 2 de banco de dados,Take database test 2
so: p2,Exames,Fazer a prova 2 de Sistemas Operacionais,Take Operating Systems exam 2
ihc: trab ii,Exames,Fazer o trabalho 2 de interação humano-computador,Do Assignment 2 for Human-Computer Interaction
so: trab 2,Exames,Fazer o trabalho 2 de Sistemas Operacionais,Do Operating Systems assignment 2
ihc: apresentacao,Exames,Apresentar trabalho de Interação Humano-Computador,Present work on Human-Computer Interaction
de-para,PUC,Participar do de-para,Participate in the mapping
de/para alternativo,Exames,participar do de-para alternativo,Participate in the alternative mapping
cd - apresentacao,Exames,Fazer a apresentação de ciência de dados,Give the data science presentation
pcs: apresentacao,Exames,Apresentar o trabalho de projeto de construcao de software,Present the software construction project
redes: p1,Exames,Fazer a prova 1 de redes de computadores,Take Computer Networks Exam 1
ed: p1,Exames,Fazer a prova 1 de estudo dirigido,Take exam 1 of directed study
pcs: apresentacao g2,Exames,Apresentar o trabalho 2 de projeto de construção de software,Present Software Construction
redes: trab 1,Exames,Fazer o trabalho 1 de Redes de computadores,Do Computer Networks assignment 1
cd: apresentacao g2,Exames,Apresentar o trabalho 2 de ciencia de dados,Present Data Science Assignment 2
redes: p2,Exames,Fazer a prova 2 de redes de computadores,Take Computer Networks exam 2
ed: p2,Exames,Fazer a prova 2 de estudo dirigido,Take guided study exam 2
ed: lista 4,Exames,Fazer a lista 4 de estudo dirigido,Work on directed study list 4
p2 - eda,Exames, Fazer a prova 2 de Estrutura de dados avançadas,Take Advanced Data Structures exam 2
apresentacao t2 - eda,Exames,Apresentar do segundo trabalho,Present the second assignment
pf - eda,Exames,Fazer a prova final de estrutura de dados avançadas,Take the final exam of Advanced Data Structures
psr: mp1,Exames,Fazer o exame 1 de programacao de sistemas reativos,Take Reactive Systems Programming Exam 1
aa: p1,Exames,fazer prova 1 de analise de algoritmos,Take Analysis of Algorithms exam 1
als - p1,Exames,fazer a prova 1 de analisadores léxicos e sintáticos,Take exam 1 on lexical and syntactic analyzers
probcomp - t1,Exames,Fazer a prova 1 de Probabilidade Computacional,Take Computational Probability exam 1
aa: p2,Exames,fazer a prova 2 de analise de algoritmos,Take Algorithms Analysis exam 2
trabalho 2 aa,Exames,Fazer o trabalho 2 aa,Do work 2 aa
probcomp - t2,Exames,Fazer a prova 2 de Probabilidade Computacional,Take Computational Probability exam 2
als - p2,Exames,fazer a prova 2 de analisadores léxicos e sintáticos,Take the Lexical and Syntactic Analyzers exam 2
aa: p3,Exames,fazer a prova 3 de analise de algoritmos,Take Algorithms Analysis exam 3
apresentacao estagio,Exames,Apresentar no estágio,Present at the internship
trabalho 3 aa,Exames,Fazer o trabalho 3 de analise de algoritmos,Do assignment 3 for Analysis of Algorithms
probcomp - p2,Exames,Fazer a prova 2 de Probabilidade Computacional,Take Computational Probability exam 2
trabalho als,Exames,Fazer o trabalho de analisadores léxicos e sintáticos,Do the lexical and syntactic analyzers assignment
projeto final psr,Exames,Fazer o projeto final de programacao de sistemas reativos,Do the reactive systems programming final project
birusamba de verao,Social,Ir para o birusamba de verão,Go to the birusamba de verão
t2 calculo,Exames,Fazer o teste 2 de cálculo,Take Calculus test 2
p3 calculo,Exames,Fazer a prova 3 de cálculo,Take Calculus exam 3
dr bruno,Saúde,Consultar com o Dr. Bruno,Consult with Dr. Bruno
quiropraxia,Saúde,Fazer quiropraxia,Have chiropractic
exame de imagem,Saúde,Fazer exame de imagem,Have an imaging exam
cirurgiao,Saúde,Consultar o cirurgião,Consult the surgeon
ortopedista,Saúde,Consultar o ortopedista,See the orthopedist
dermatologista,Saúde,Consultar o dermatologista,Consult the dermatologist
exame de sangue,Saúde,Fazer exame de sangue,Have a blood test
endoscopia,Saúde,Fazer endoscopia,Have an endoscopy
dentista,Saúde,Ir ao dentista,Go to the dentist
exames de imagem,Saúde,Fazer exames de imagem,Have imaging exams
bioimpedancia,Saúde,Fazer bioimpedância,Do bioimpedance
oftalmologista,Saúde,Consultar o oftalmologista,See the ophthalmologist
livre,Saúde,livre,Free
pilates,Saúde,Fazer pilates,Do pilates
nutricionista,Saúde,Consultar a nutricionista,See the nutritionist
hogwarts legacy,Games,Jogar Hogwarts Legacy,Play Hogwarts Legacy
minecraft: legends,Games,Jogar Minecraft: Legends,Play Minecraft: Legends
diablo iv,Games,Jogar Diablo IV,Play Diablo IV
gmtk gamejam,Games,Participar da GMTK Gamejam,Participate in GMTK Gamejam
academia,Exercícios,Ir à academia,Go to the gym
futevolei,Exercícios,Jogar futevolei,Play footvolley
muay thai,Exercícios,Fazer muay thai,Do Muay Thai
basquete puc,Exercícios,Jogar basquete na PUC,Play basketball at PUC
spinning,Exercícios,Fazer spinning,Do spinning
aniversario da minha irma,Pessoal,Comemorar o aniversário da minha irmã,Celebrate my sister's birthday
aniversario da minha mae,Pessoal,Comemorar o aniversário da minha mãe,Celebrate my mother's birthday
ps plus,Pessoal,Comprar PS Plus,Buy PS Plus
meu aniversario,Pessoal,Comemorar meu aniversário,Celebrate my birthday
aniversario do meu pai,Pessoal,Comemorar o aniversário do meu pai,Celebrate my father's birthday
lembrar marie,Pessoal,lembrar marie,Remind Marie
formatura csa,Pessoal,Participar da formatura da escola,Attend the school graduation
aula,PUC,Assistir aula,Attend class
baile da gaiola,Pessoal,Ir ao baile da gaiola,Go to Baile da Gaiola
aniversario de namoro,Pessoal,Comemorar o aniversário de namoro,Celebrate dating anniversary
estudar calculo e ficha 2,Pessoal,estudar calculo e ficha 2,Study calculus and problem set 2
season nova rl,Pessoal,Jogar a nova season de Rocket League,Play the new Rocket League season
black friday,Pessoal,Fazer compras na Black Friday,Go shopping on Black Friday
facetime alessandra,Pessoal,Fazer Facetime com Alessandra,Facetime with Alessandra
estudo,Pessoal,Estudar,Study
arrumar,Pessoal,arrumar,Tidy up
barra shopping,Pessoal,Ir ao Barra Shopping,Go to Barra Shopping
[nubank] vencimento da fatura de marco,Pessoal,Pagar a fatura de março do banco,Pay the March bank bill
almoco,Pessoal,Almoçar,Have lunch
feriado,Pessoal,Aproveitar o feriado,Enjoy the holiday
itaipava,Social,Ir a Itaipava,Go to Itaipava
niver,Pessoal,Comemorar o aniversário,Celebrate birthday
foco,Pessoal,Manter o foco,Stay focused
devolucao zara,Pessoal,Devolver compras da Zara,Return Zara purchases
gravacao comunicacao intercriar,Pessoal,Gravar a comunicação intercriar,Record the Intercriar communication
oportunidade guelt | felipe khouri gameleira,Pessoal,Entrevista para a oportunidade guelt,Interview for the guelt opportunity
wwdc-ss crash challenge,Pessoal,Fazer o desafio de crash da wwdc-ss,Do the wwdc-ss crash challenge
aldeia,Social,ir para a festa,Go to the party
aldeia sabado [feriado],Pessoal,Ir para a festa no sábado de feriado,Go to the party on the long weekend Saturday
aldeia sabado,Pessoal,Ir para a festa no sábado,Go to the party on Saturday
quadcast,Pessoal,comprar microfone,Buy microphone
gmkt jam - entrega,Pessoal,Entregar o jogo na gmkt jam,Submit the game to the gmkt jam
reuniao com outsystems,Pessoal,Fazer reunião com Outsystems,Have a meeting with Outsystems
wwdc teaching - kick off,Pessoal,Fazer o kick off do ensino da WWDC,Kick off the WWDC education
wwdc teaching - first steps,Pessoal,Fazer os primeiros passos do ensino da WWDC,Go through the first steps of WWDC learning
decompress,Pessoal,Descomprimir,Decompress
reservation at yusha,Pessoal,Fazer uma reserva no restaurante,Make a reservation at the restaurant
entrevista estagio: felipe,Pessoal,Participar de entrevista de estágio,Attend internship interview
entrevista estagio desenvolvedor: felipe,Pessoal,Participar de entrevista de estágio desenvolvedor,Attend developer internship interview
estudar calculo,Pessoal,Estudar cálculo,Study Calculus
ai salon rio de janeiro,Pessoal,Ir para o AI Salon no Rio de Janeiro,Go to AI Salon in Rio de Janeiro
ai salon rio de janeiro #4,Pessoal,Ir para o AI Salon no Rio de Janeiro,Go to the AI Salon in Rio de Janeiro
ajuste de matricula,PUC,Participar do ajuste de matrícula,Participate in the course registration adjustment
ajuste de matricula ii,PUC,Participar do ajuste de matrícula 2,Participate in the second registration adjustment
volta as aulas,PUC,Voltar às aulas,Go back to school
inf1301 - programacao modular,PUC,Ir para aula de programação modular para INF1301,Attend modular programming class for INF1301
inf1018 - software basico,PUC,Ir para a aula de inf1018 - software basico,Attend inf1018 - basic software class
mat1260 - algebra linear 1,PUC,Ir para a aula de mat1260 - algebra linear 1,Attend mat1260 - Linear Algebra 1 class
de para,PUC,Participar do de-para,Participate in the mapping session
t1 algebra,PUC,Fazer o teste 1 de álgebra,Take Algebra test 1
inf1018 - monitoria,PUC,Fazer a monitoria de INF1018,Conduct INF1018 tutoring
simulador de matricula,PUC,Participar da simulação de matrícula,Attend the mock enrollment
matricula puc,PUC,Fazer a matrícula na PUC,Enroll at PUC
inf1636 - programacao orientada a objetos,PUC,Ir para a aula de inf1636 - programação orientada a objetos,Attend inf1636 - Object-Oriented Programming class
inf1027 - teste e medicao de software,PUC,Ir para a aula de inf1027 - teste e medicao de software,Attend inf1027 - Software Testing and Measurement class
inf1383 - bancos de dados,PUC,Ir para a aula de inf1383 - bancos de dados,Attend inf1383 - Databases class
inf1316 - sistemas operacionais,PUC,Ir para a aula de inf1316 - sistemas operacionais,Attend INF1316 - Operating Systems class
inf1403 - interacao humano computador,PUC,Ir para a aula de inf1403 - interacao humano computador,Attend INF1403 - Human-Computer Interaction class
de/para regimental,PUC,Participar do de-para regimental,Participate in the regulatory mapping
so: lab 1,PUC,Fazer o laboratório 1 de Sistemas Operacionais,Complete Operating Systems Lab 1
ferias puc,PUC,Tirar férias na PUC,Take vacation from PUC
inf1032 - ciencia de dados,PUC,Ir para a aula de inf1032 - ciência de dados,Attend inf1032 - Data Science class
inf1022 - analisadores lexicos e sintaticos,PUC,Ir para a aula de analisadores léxicos e sintáticos,Attend the Lexical and Syntactic Analysis class
inf1640 - redes de computadores,PUC,Ir para a aula de inf1640 - redes de computadores,Attend INF1640 - Computer Networks class
inf1631 - estruturas discretas,PUC,Ir para a aula de inf1631 - estruturas discretas,Attend inf1631 - Discrete Structures class
cre1141 - etica crista,PUC,Ir para a aula de cre1141 - etica crista,Attend cre1141 - Christian Ethics class
inf1028 - projeto e construcao de sistemas,PUC,Ir para a aula de projeto e construção de sistemas,Attend Systems Design and Construction class
inf1307 - desenvolvimento de jogos,PUC,aula de desenvolvimento de jogos,Game development class
inf1771 - inteligencia artificial,PUC,aula de inf1771 - inteligencia artificial,Attend INF1771 - Artificial Intelligence class
inf1010 - estruturas de dados avançadas,PUC,aula de inf1010 - estruturas de dados avançadas,Attend INF1010 - Advanced Data Structures class
inf1338 - large language models,PUC,aula de inf1338 - large language models,Attend INF1338 class - Large Language Models
inf1721 - analise de algoritmos,PUC,aula de inf1721 - analise de algoritmos,Attend inf1721 - Algorithms Analysis class
inf1036 - probabilidade computacional,PUC,aula de inf1036 - probabilidade computacional,Attend INF1036 - Computational Probability class
inf1350 - programacao de sistemas reativos,PUC,aula de inf1350 - programacao de sistemas reativos,Attend inf1350 - Reactive Systems Programming class
inf1920 - aula expositiva,PUC,Assistir à aula expositiva de inf1920,Attend inf1920 lecture
conversa tcc felipe gameleira,PUC,Conversar sobre o TCC com orientador,Discuss the Thesis with advisor
mat4162 - calculo ii,PUC,aula de mat4162 - calculo 2,Attend MAT4162 - Calculus 2 class
inf1314 - gerando startup com inteligencia artificial,PUC,aula de inf1314 - gerando startup com inteligencia artificial,Attend INF1314 class - Generating Startup with Artificial Intelligence
reuniao tcc,PUC,Fazer reunião do TCC,Have a thesis meeting
teste calculo ii,PUC,Fazer teste de Cálculo II,Take Calculus II test
devs no pilotis,PUC,Ir para evento devs no pilotis,Go to devs event at the pilotis
niver gabi,Social,Comemorar o aniversário da Gabi,Celebrate Gabi's birthday
nover sofia k,Social,comemorar o aniversario da sofia k,Celebrate Sofia K's birthday
niver giovanna lopes,Social,Comemorar o aniversário da Giovanna Lopes,Celebrate Giovanna Lopes' birthday
churrasclerigos,Social,Ir para churrasco,Go to barbecue
almoco vo,Social,Almoçar com a vovó,Have lunch with grandma
santa sexta,Social,Ir para a festa,Go to the party
niver gi fortes,Social,Comemorar o aniversário da Gi Fortes,Celebrate Gi Fortes' birthday
casamento,Social,Ir para o casamento,Go to the wedding
rock in rio,Social,Ir ao Rock in Rio,Go to Rock in Rio
niver amanda,Social,Comemorar o aniversário da Amanda,Celebrate Amanda's birthday
niver luana maia,Social,Comemorar o aniversário da Luana Maia,Celebrate Luana Maia's birthday
niver lara,Social,Comemorar o aniversário da Lara,Celebrate Lara's birthday
niver mae,Social,Comemorar o aniversário da mãe,Celebrate mother's birthday
ballet marina,Social,Levar namorada no ballet,Take girlfriend to the ballet
harry styles - love on tour - rio de janeiro,Social,Assistir ao show do Harry Styles - Love on Tour no Rio de Janeiro,Attend the Harry Styles - Love on Tour concert in Rio de Janeiro
niver isabella,Social,Comemorar o aniversário da Isabella,Celebrate Isabella's birthday
festa niver,Social,Comemorar o aniversário,Celebrate birthday
niver felipe,Social,Comemorar o aniversário do Felipe,Celebrate Felipe's birthday
niver laura,Social,Comemorar o aniversário da Laura,Celebrate Laura's birthday
niver aninha,Social,Comemorar o aniversário da Aninha,Celebrate Aninha's birthday
niver rapha,Social,Comemorar o aniversário do Rapha,Celebrate Rapha's birthday
prime day,Social,Comprar no Prime Day,Shop on Prime Day
niver julia,Social,Comemorar o niver da Julia,Celebrate Julia's birthday
niver carol benchimol,Social,Comemorar o aniversário da Carol Benchimol,Celebrate Carol Benchimol's birthday
festa duda castro,Social,Participar da festa da Duda Castro,Attend Duda Castro's party
churras marcos,Social,Fazer churrasco com Marcos,Have a barbecue with Marcos
viagem secretario,Social,Viajar para Secretário,Travel to Secretário
os barbixas,Social,Assistir aos Barbixas,Watch Os Barbixas
rpg goulart,Social,Jogar RPG com Goulart,Play RPG with Goulart
churras caio,Social,Ir ao churrasco do Caio,Go to Caio's barbecue
niver millena,Social,Comemorar o aniversário da Millena,Celebrate Millena's birthday
niver lu,Social,Comemorar o aniversário da Lu,Celebrate Lu's birthday
niver caroli,Social,Comemorar o aniversário da Caroli,Celebrate Caroli's birthday
niver be,Social,Comemorar o aniversário do Bernardo,Celebrate Bernardo's birthday
formatura renata,Social,Participar da formatura da Renata,Attend Renata's graduation
niver lucca,Social,Comemorar o aniversário do Lucca,Celebrate Lucca's birthday
niver caio,Social,Comemorar o niver do Caio,Celebrate Caio's birthday
churras ze,Social,Fazer churrasco,Have a barbecue
apple developer academy,Trabalho,Trabalhar no Apple Developer Academy,Work at the Apple Developer Academy
animate ideas with keynote,Trabalho,Animar ideias com Keynote,Animate ideas with Keynote
programar cena,Trabalho,programar cena,Program scene
lab,Trabalho,Fazer o laboratorio,Do the lab
apple,Trabalho,Trabalhar,Work
academy,Trabalho,Trabalhar,Work
wwdc,Trabalho,Participar do WWDC,Attend WWDC
reuniao nick + tio,Trabalho,Fazer reunião com Nick e tio,Have a meeting with Nick and uncle
churrasco academy,Trabalho,Ir para o churrasco do trabalho,Go to the work barbecue
trabalho i9,Trabalho,Trabalhar,Work
i9 cultura,Trabalho,Trabalhar,Work
reuniao prog atlas,Trabalho,Fazer reunião sobre o programa Atlas,Have a meeting about the Atlas program
ecoa,Trabalho,Trabalhar,Work
conversa bruno,Trabalho,Conversar com Bruno,Talk with Bruno
reuniao play time - goulart,Trabalho,Fazer a reunião play time com Goulart,Have the Play Time meeting with Goulart
reuniao play time,Trabalho,Participar da reunião Play Time,Attend the Play Time meeting
m3,Trabalho,Trabalhar,Work
petropolis,Viagens,Viajar para Petrópolis,Travel to Petrópolis
petropolis torres,Viagens,Viajar para Petrópolis,Travel to Petrópolis
petropolis juliana,Viagens,Viajar para Petrópolis,Travel to Petrópolis
